	relu_coeff	time_cost
4713	1024.0	10.0
4714	37632.0	128.0
4715	36963.0	128.0
4716	9075.0	59.0
4717	9075.0	41.0
4718	2028.0	9.0
4719	2028.0	11.0
4720	507.0	4.0
4721	1024.0	11.0
4722	37632.0	131.0
4723	36963.0	151.0
4724	9075.0	40.0
4725	9075.0	38.0
4726	2028.0	8.0
4727	2028.0	10.0
4728	507.0	3.0
4729	1024.0	13.0
4730	37632.0	132.0
4731	36963.0	136.0
4732	9075.0	41.0
4733	9075.0	33.0
4734	2028.0	8.0
4735	2028.0	9.0
4736	507.0	3.0
4737	1024.0	11.0
4738	37632.0	184.0
4739	36963.0	129.0
4740	9075.0	28.0
4741	9075.0	34.0
4742	2028.0	7.0
4743	2028.0	15.0
4744	507.0	3.0
4745	1024.0	10.0
4746	37632.0	191.0
4747	36963.0	149.0
4748	9075.0	42.0
4749	9075.0	33.0
4750	2028.0	9.0
4751	2028.0	9.0
4752	507.0	4.0
4753	1024.0	10.0
4754	37632.0	129.0
4755	36963.0	133.0
4756	9075.0	32.0
4757	9075.0	35.0
4758	2028.0	10.0
4759	2028.0	10.0
4760	507.0	4.0
4761	1024.0	7.0
4762	37632.0	131.0
4763	36963.0	138.0
4764	9075.0	38.0
4765	9075.0	36.0
4766	2028.0	9.0
4767	2028.0	10.0
4768	507.0	4.0
4769	1024.0	9.0
4770	149187.0	494.0
4771	9408.0	31.0
4772	9408.0	37.0
4773	2187.0	10.0
4774	507.0	3.0
4775	507.0	3.0
4776	48.0	1.0
4777	48.0	0.0
4778	1024.0	4.0
4779	149187.0	497.0
4780	9408.0	39.0
4781	9408.0	36.0
4782	2187.0	11.0
4783	507.0	4.0
4784	507.0	3.0
4785	48.0	1.0
4786	48.0	1.0
4787	1024.0	4.0
4788	149187.0	589.0
4789	9408.0	32.0
4790	9408.0	33.0
4791	2187.0	9.0
4792	507.0	3.0
4793	507.0	2.0
4794	48.0	1.0
4795	48.0	1.0
4796	1024.0	6.0
4797	149187.0	504.0
4798	9408.0	36.0
4799	9408.0	36.0
4800	2187.0	10.0
4801	507.0	3.0
4802	507.0	2.0
4803	48.0	1.0
4804	48.0	2.0
4805	1024.0	9.0
4806	149187.0	486.0
4807	9408.0	35.0
4808	9408.0	37.0
4809	2187.0	11.0
4810	507.0	3.0
4811	507.0	3.0
4812	48.0	1.0
4813	48.0	1.0
4814	1024.0	5.0
4815	149187.0	564.0
4816	9408.0	37.0
4817	9408.0	42.0
4818	2187.0	11.0
4819	507.0	3.0
4820	507.0	3.0
4821	48.0	1.0
4822	48.0	1.0
4823	1024.0	5.0
4824	149187.0	525.0
4825	9408.0	45.0
4826	9408.0	37.0
4827	2187.0	11.0
4828	507.0	4.0
4829	507.0	5.0
4830	48.0	1.0
4831	48.0	1.0
4832	1024.0	8.0
4833	149187.0	467.0
4834	9408.0	32.0
4835	9408.0	33.0
