maxpool_N,maxpool_H,maxpool_W,maxpool_C,maxpool_ksizeH,maxpool_ksizeW,maxpool_zPadHLeft,maxpool_zPadHRight,maxpool_zPadWLeft,maxpool_zPadWRight,maxpool_strideH,maxpool_strideW,maxpool_N1,maxpool_imgH,maxpool_imgW,maxpool_C1,time_cost_list,max_time_cost_difference
1.0,55.0,55.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,56.0,56.0,3.0,"[105.0, 104.0, 110.0, 82.0, 105.0, 95.0, 124.0, 101.0, 103.0, 108.0, 94.0, 122.0, 82.0, 131.0, 99.0]",49.0
1.0,55.0,55.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,110.0,110.0,3.0,"[121.0, 129.0, 128.0, 101.0, 143.0, 105.0, 105.0, 81.0, 91.0, 127.0, 123.0, 99.0, 125.0, 112.0, 125.0]",62.0
1.0,55.0,55.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,55.0,55.0,3.0,"[90.0, 86.0, 119.0, 87.0, 94.0, 98.0, 92.0, 93.0, 108.0, 122.0, 102.0, 155.0, 94.0, 120.0, 96.0]",69.0
1.0,55.0,55.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,110.0,110.0,3.0,"[203.0, 211.0, 246.0, 232.0, 242.0, 238.0, 287.0, 288.0, 283.0, 282.0, 222.0, 271.0, 256.0, 260.0, 247.0]",85.0
1.0,55.0,55.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,110.0,110.0,16.0,"[654.0, 660.0, 625.0, 622.0, 651.0, 662.0, 630.0, 712.0, 600.0, 644.0, 648.0, 632.0, 631.0, 683.0, 643.0]",112.0
1.0,55.0,55.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,112.0,112.0,16.0,"[1368.0, 1360.0, 1305.0, 1342.0, 1360.0, 1506.0, 1304.0, 1410.0, 1284.0, 1325.0, 1333.0, 1341.0, 1412.0, 1479.0, 1348.0]",222.0
1.0,55.0,55.0,16.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,110.0,110.0,16.0,"[1317.0, 1385.0, 1509.0, 1406.0, 1401.0, 1422.0, 1329.0, 1372.0, 1390.0, 1447.0, 1369.0, 1393.0, 1323.0, 1354.0, 1314.0]",195.0
1.0,55.0,55.0,32.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,55.0,55.0,32.0,"[1005.0, 1021.0, 1047.0, 970.0, 1022.0, 1110.0, 1003.0, 1004.0, 1024.0, 986.0, 991.0, 1095.0, 1050.0, 1008.0, 1157.0]",187.0
1.0,56.0,56.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,112.0,112.0,3.0,"[95.0, 98.0, 126.0, 86.0, 123.0, 110.0, 104.0, 122.0, 130.0, 153.0, 125.0, 115.0, 146.0, 134.0, 98.0, 108.0, 113.0, 146.0, 93.0, 92.0, 120.0, 96.0, 121.0, 125.0, 120.0, 133.0, 94.0, 136.0, 99.0, 110.0, 127.0, 144.0, 98.0, 96.0, 145.0, 126.0, 103.0, 133.0, 91.0, 123.0, 100.0, 97.0, 98.0, 122.0, 104.0]",67.0
1.0,56.0,56.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,111.0,111.0,3.0,"[115.0, 125.0, 127.0, 80.0, 123.0, 125.0, 114.0, 141.0, 136.0, 106.0, 126.0, 140.0, 106.0, 149.0, 107.0]",69.0
1.0,56.0,56.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,112.0,112.0,3.0,"[220.0, 244.0, 223.0, 300.0, 280.0, 234.0, 299.0, 279.0, 245.0, 265.0, 302.0, 255.0, 262.0, 256.0, 291.0]",82.0
1.0,56.0,56.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,56.0,3.0,"[303.0, 329.0, 280.0, 274.0, 294.0, 253.0, 295.0, 286.0, 291.0, 278.0, 277.0, 281.0, 235.0, 234.0, 231.0, 254.0, 252.0, 246.0, 269.0, 297.0, 210.0, 253.0, 250.0, 261.0, 213.0, 247.0, 270.0, 228.0, 252.0, 271.0]",119.0
