	conv_N	conv_H	conv_W	conv_CI	conv_FH	conv_FW	conv_CO	conv_zPadHLeft	conv_zPadHRight	conv_zPadWLeft	conv_zPadWRight	conv_strideH	conv_strideW	time_cost
4121	1.0	13.0	13.0	32.0	3.0	3.0	512.0	1.0	1.0	1.0	1.0	1.0	1.0	1432.0
4122	1.0	13.0	13.0	512.0	7.0	7.0	512.0	3.0	3.0	3.0	3.0	1.0	1.0	14512.0
4123	1.0	13.0	13.0	512.0	5.0	5.0	1024.0	2.0	2.0	2.0	2.0	1.0	1.0	20798.0
4124	1.0	13.0	13.0	1024.0	3.0	3.0	1024.0	0.0	0.0	0.0	0.0	2.0	2.0	20731.0
4125	1.0	224.0	224.0	3.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	2218.0
4126	1.0	224.0	224.0	16.0	1.0	1.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	845.0
4127	1.0	112.0	112.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	970.0
4128	1.0	53.0	53.0	16.0	7.0	7.0	128.0	0.0	0.0	0.0	0.0	1.0	1.0	1685.0
4129	1.0	47.0	47.0	128.0	5.0	5.0	128.0	2.0	2.0	2.0	2.0	2.0	2.0	7082.0
4130	1.0	24.0	24.0	128.0	5.0	5.0	128.0	2.0	1.0	2.0	1.0	2.0	2.0	1692.0
4131	1.0	12.0	12.0	128.0	1.0	1.0	32.0	0.0	0.0	0.0	0.0	1.0	1.0	165.0
4132	1.0	12.0	12.0	32.0	3.0	3.0	64.0	1.0	1.0	1.0	1.0	1.0	1.0	204.0
4133	1.0	12.0	12.0	64.0	1.0	1.0	1024.0	0.0	0.0	0.0	0.0	1.0	1.0	3043.0
4134	1.0	12.0	12.0	1024.0	1.0	1.0	64.0	0.0	0.0	0.0	0.0	2.0	2.0	459.0
4135	1.0	224.0	224.0	3.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	2234.0
4136	1.0	224.0	224.0	16.0	1.0	1.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	838.0
4137	1.0	112.0	112.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	888.0
4138	1.0	53.0	53.0	16.0	7.0	7.0	128.0	0.0	0.0	0.0	0.0	1.0	1.0	1720.0
4139	1.0	47.0	47.0	128.0	5.0	5.0	128.0	2.0	2.0	2.0	2.0	2.0	2.0	7010.0
4140	1.0	24.0	24.0	128.0	5.0	5.0	128.0	2.0	1.0	2.0	1.0	2.0	2.0	1671.0
4141	1.0	12.0	12.0	128.0	1.0	1.0	32.0	0.0	0.0	0.0	0.0	1.0	1.0	196.0
4142	1.0	12.0	12.0	32.0	3.0	3.0	64.0	1.0	1.0	1.0	1.0	1.0	1.0	200.0
4143	1.0	12.0	12.0	64.0	1.0	1.0	1024.0	0.0	0.0	0.0	0.0	1.0	1.0	2976.0
4144	1.0	12.0	12.0	1024.0	1.0	1.0	64.0	0.0	0.0	0.0	0.0	2.0	2.0	426.0
4145	1.0	224.0	224.0	3.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	2208.0
4146	1.0	224.0	224.0	16.0	1.0	1.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	841.0
4147	1.0	112.0	112.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	923.0
4148	1.0	53.0	53.0	16.0	7.0	7.0	128.0	0.0	0.0	0.0	0.0	1.0	1.0	1756.0
4149	1.0	47.0	47.0	128.0	5.0	5.0	128.0	2.0	2.0	2.0	2.0	2.0	2.0	6887.0
4150	1.0	24.0	24.0	128.0	5.0	5.0	128.0	2.0	1.0	2.0	1.0	2.0	2.0	1685.0
4151	1.0	12.0	12.0	128.0	1.0	1.0	32.0	0.0	0.0	0.0	0.0	1.0	1.0	199.0
4152	1.0	12.0	12.0	32.0	3.0	3.0	64.0	1.0	1.0	1.0	1.0	1.0	1.0	232.0
4153	1.0	12.0	12.0	64.0	1.0	1.0	1024.0	0.0	0.0	0.0	0.0	1.0	1.0	3028.0
4154	1.0	12.0	12.0	1024.0	1.0	1.0	64.0	0.0	0.0	0.0	0.0	2.0	2.0	441.0
4155	1.0	224.0	224.0	3.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	2159.0
4156	1.0	224.0	224.0	16.0	1.0	1.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	722.0
4157	1.0	112.0	112.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	932.0
4158	1.0	53.0	53.0	16.0	7.0	7.0	128.0	0.0	0.0	0.0	0.0	1.0	1.0	1787.0
4159	1.0	47.0	47.0	128.0	5.0	5.0	128.0	2.0	2.0	2.0	2.0	2.0	2.0	7109.0
4160	1.0	24.0	24.0	128.0	5.0	5.0	128.0	2.0	1.0	2.0	1.0	2.0	2.0	1724.0
4161	1.0	12.0	12.0	128.0	1.0	1.0	32.0	0.0	0.0	0.0	0.0	1.0	1.0	181.0
4162	1.0	12.0	12.0	32.0	3.0	3.0	64.0	1.0	1.0	1.0	1.0	1.0	1.0	230.0
4163	1.0	12.0	12.0	64.0	1.0	1.0	1024.0	0.0	0.0	0.0	0.0	1.0	1.0	3046.0
4164	1.0	12.0	12.0	1024.0	1.0	1.0	64.0	0.0	0.0	0.0	0.0	2.0	2.0	435.0
4165	1.0	224.0	224.0	3.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	2233.0
4166	1.0	224.0	224.0	16.0	1.0	1.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	794.0
4167	1.0	112.0	112.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	942.0
4168	1.0	53.0	53.0	16.0	7.0	7.0	128.0	0.0	0.0	0.0	0.0	1.0	1.0	1719.0
4169	1.0	47.0	47.0	128.0	5.0	5.0	128.0	2.0	2.0	2.0	2.0	2.0	2.0	7180.0
4170	1.0	24.0	24.0	128.0	5.0	5.0	128.0	2.0	1.0	2.0	1.0	2.0	2.0	1680.0
4171	1.0	12.0	12.0	128.0	1.0	1.0	32.0	0.0	0.0	0.0	0.0	1.0	1.0	175.0
4172	1.0	12.0	12.0	32.0	3.0	3.0	64.0	1.0	1.0	1.0	1.0	1.0	1.0	231.0
4173	1.0	12.0	12.0	64.0	1.0	1.0	1024.0	0.0	0.0	0.0	0.0	1.0	1.0	3068.0
4174	1.0	12.0	12.0	1024.0	1.0	1.0	64.0	0.0	0.0	0.0	0.0	2.0	2.0	463.0
4175	1.0	224.0	224.0	3.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	2173.0
4176	1.0	224.0	224.0	16.0	1.0	1.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	743.0
4177	1.0	112.0	112.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	978.0
4178	1.0	53.0	53.0	16.0	7.0	7.0	128.0	0.0	0.0	0.0	0.0	1.0	1.0	1666.0
4179	1.0	47.0	47.0	128.0	5.0	5.0	128.0	2.0	2.0	2.0	2.0	2.0	2.0	7093.0
4180	1.0	24.0	24.0	128.0	5.0	5.0	128.0	2.0	1.0	2.0	1.0	2.0	2.0	1676.0
4181	1.0	12.0	12.0	128.0	1.0	1.0	32.0	0.0	0.0	0.0	0.0	1.0	1.0	173.0
4182	1.0	12.0	12.0	32.0	3.0	3.0	64.0	1.0	1.0	1.0	1.0	1.0	1.0	235.0
4183	1.0	12.0	12.0	64.0	1.0	1.0	1024.0	0.0	0.0	0.0	0.0	1.0	1.0	3045.0
4184	1.0	12.0	12.0	1024.0	1.0	1.0	64.0	0.0	0.0	0.0	0.0	2.0	2.0	428.0
4185	1.0	224.0	224.0	3.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	2231.0
4186	1.0	224.0	224.0	16.0	1.0	1.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	844.0
4187	1.0	112.0	112.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	986.0
4188	1.0	53.0	53.0	16.0	7.0	7.0	128.0	0.0	0.0	0.0	0.0	1.0	1.0	1750.0
4189	1.0	47.0	47.0	128.0	5.0	5.0	128.0	2.0	2.0	2.0	2.0	2.0	2.0	7195.0
4190	1.0	24.0	24.0	128.0	5.0	5.0	128.0	2.0	1.0	2.0	1.0	2.0	2.0	1663.0
4191	1.0	12.0	12.0	128.0	1.0	1.0	32.0	0.0	0.0	0.0	0.0	1.0	1.0	162.0
4192	1.0	12.0	12.0	32.0	3.0	3.0	64.0	1.0	1.0	1.0	1.0	1.0	1.0	202.0
4193	1.0	12.0	12.0	64.0	1.0	1.0	1024.0	0.0	0.0	0.0	0.0	1.0	1.0	3017.0
4194	1.0	12.0	12.0	1024.0	1.0	1.0	64.0	0.0	0.0	0.0	0.0	2.0	2.0	475.0
4195	1.0	224.0	224.0	3.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	2293.0
4196	1.0	224.0	224.0	16.0	1.0	1.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	861.0
4197	1.0	112.0	112.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	896.0
4198	1.0	53.0	53.0	16.0	7.0	7.0	128.0	0.0	0.0	0.0	0.0	1.0	1.0	1727.0
4199	1.0	47.0	47.0	128.0	5.0	5.0	128.0	2.0	2.0	2.0	2.0	2.0	2.0	7123.0
4200	1.0	24.0	24.0	128.0	5.0	5.0	128.0	2.0	1.0	2.0	1.0	2.0	2.0	1669.0
4201	1.0	12.0	12.0	128.0	1.0	1.0	32.0	0.0	0.0	0.0	0.0	1.0	1.0	181.0
4202	1.0	12.0	12.0	32.0	3.0	3.0	64.0	1.0	1.0	1.0	1.0	1.0	1.0	218.0
4203	1.0	12.0	12.0	64.0	1.0	1.0	1024.0	0.0	0.0	0.0	0.0	1.0	1.0	3039.0
4204	1.0	12.0	12.0	1024.0	1.0	1.0	64.0	0.0	0.0	0.0	0.0	2.0	2.0	432.0
4205	1.0	224.0	224.0	3.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	2234.0
4206	1.0	224.0	224.0	16.0	1.0	1.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	765.0
4207	1.0	112.0	112.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	980.0
4208	1.0	53.0	53.0	16.0	7.0	7.0	128.0	0.0	0.0	0.0	0.0	1.0	1.0	1689.0
4209	1.0	47.0	47.0	128.0	5.0	5.0	128.0	2.0	2.0	2.0	2.0	2.0	2.0	7304.0
4210	1.0	24.0	24.0	128.0	5.0	5.0	128.0	2.0	1.0	2.0	1.0	2.0	2.0	1689.0
4211	1.0	12.0	12.0	128.0	1.0	1.0	32.0	0.0	0.0	0.0	0.0	1.0	1.0	182.0
4212	1.0	12.0	12.0	32.0	3.0	3.0	64.0	1.0	1.0	1.0	1.0	1.0	1.0	238.0
