	avgpool_N	avgpool_H	avgpool_W	avgpool_C	avgpool_ksizeH	avgpool_ksizeW	avgpool_zPadHLeft	avgpool_zPadHRight	avgpool_zPadWLeft	avgpool_zPadWRight	avgpool_strideH	avgpool_strideW	avgpool_N1	avgpool_imgH	avgpool_imgW	avgpool_C1	time_cost
232	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	48.0
233	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	15.0
234	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	7.0
235	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	705.0
236	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	194.0
237	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	182.0
238	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	187.0
239	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	157.0
240	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	153.0
241	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	165.0
242	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	51.0
243	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	18.0
244	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	6.0
245	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	773.0
246	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	255.0
247	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	228.0
248	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	156.0
249	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	163.0
250	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	214.0
251	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	150.0
252	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	50.0
253	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	13.0
254	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	11.0
255	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	714.0
256	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	214.0
257	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	194.0
258	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	166.0
259	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	178.0
260	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	178.0
261	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	197.0
262	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	74.0
263	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	18.0
264	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	12.0
265	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	729.0
266	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	167.0
267	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	222.0
268	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	210.0
269	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	157.0
270	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	155.0
271	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	175.0
272	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	54.0
273	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	17.0
274	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	8.0
275	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	743.0
276	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	190.0
277	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	225.0
278	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	188.0
279	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	167.0
280	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	174.0
281	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	165.0
282	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	51.0
283	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	18.0
284	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	8.0
285	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	726.0
286	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	190.0
287	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	180.0
288	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	145.0
289	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	150.0
290	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	139.0
291	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	174.0
292	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	73.0
293	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	25.0
294	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	12.0
295	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	731.0
296	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	189.0
297	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	192.0
298	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	171.0
299	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	191.0
300	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	183.0
301	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	159.0
302	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	64.0
303	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	20.0
304	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	8.0
305	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	747.0
306	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	183.0
307	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	195.0
308	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	141.0
309	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	160.0
310	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	143.0
311	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	163.0
312	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	52.0
313	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	14.0
