avgpool_N,avgpool_H,avgpool_W,avgpool_C,avgpool_ksizeH,avgpool_ksizeW,avgpool_zPadHLeft,avgpool_zPadHRight,avgpool_zPadWLeft,avgpool_zPadWRight,avgpool_strideH,avgpool_strideW,avgpool_N1,avgpool_imgH,avgpool_imgW,avgpool_C1,count
1.0,56.0,56.0,64.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,56.0,56.0,64.0,15
1.0,109.0,109.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,220.0,220.0,16.0,30
1.0,110.0,110.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,111.0,111.0,3.0,15
1.0,110.0,110.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,112.0,112.0,16.0,15
1.0,111.0,111.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,112.0,112.0,3.0,15
1.0,111.0,111.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,223.0,223.0,3.0,30
1.0,111.0,111.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,224.0,224.0,3.0,30
1.0,111.0,111.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,222.0,222.0,3.0,15
1.0,111.0,111.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,111.0,111.0,3.0,15
1.0,111.0,111.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,224.0,224.0,16.0,30
1.0,112.0,112.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,224.0,224.0,3.0,30
1.0,112.0,112.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,112.0,112.0,3.0,120
1.0,112.0,112.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,223.0,223.0,3.0,15
1.0,112.0,112.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,224.0,224.0,3.0,30
1.0,112.0,112.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.0,112.0,3.0,30
1.0,112.0,112.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,224.0,224.0,16.0,30
1.0,222.0,222.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,224.0,224.0,3.0,15
1.0,223.0,223.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,224.0,224.0,3.0,45
1.0,223.0,223.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,223.0,223.0,3.0,15
1.0,223.0,223.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,223.0,223.0,3.0,30
1.0,224.0,224.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,224.0,224.0,3.0,60
1.0,224.0,224.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,224.0,224.0,3.0,45
