	BN2_coeff	time_cost
1005	163072.0	300.0
1006	169344.0	314.0
1007	175616.0	346.0
1008	181888.0	357.0
1009	188160.0	337.0
1010	194432.0	322.0
1011	200704.0	403.0
1012	25088.0	54.0
1013	26656.0	66.0
1014	28224.0	53.0
1015	29792.0	56.0
1016	31360.0	66.0
1017	32928.0	71.0
1018	34496.0	76.0
1019	36064.0	71.0
1020	37632.0	83.0
1021	39200.0	81.0
1022	40768.0	80.0
1023	42336.0	93.0
1024	43904.0	90.0
1025	45472.0	101.0
1026	47040.0	95.0
1027	48608.0	92.0
1028	50176.0	106.0
1029	200704.0	365.0
1030	301056.0	533.0
1031	401408.0	768.0
1032	501760.0	856.0
1033	602112.0	1126.0
1034	702464.0	1422.0
1035	802816.0	1381.0
1036	100352.0	174.0
1037	125440.0	216.0
1038	150528.0	277.0
1039	175616.0	404.0
1040	100352.0	172.0
1041	200704.0	374.0
1042	225792.0	476.0
1043	250880.0	453.0
1044	275968.0	565.0
1045	301056.0	518.0
1046	326144.0	673.0
1047	351232.0	632.0
1048	376320.0	639.0
1049	401408.0	813.0
1050	50176.0	125.0
1051	56448.0	98.0
1052	62720.0	117.0
1053	68992.0	131.0
1054	75264.0	138.0
1055	81536.0	158.0
1056	87808.0	158.0
1057	94080.0	175.0
1058	100352.0	244.0
1059	106624.0	189.0
1060	112896.0	176.0
1061	119168.0	230.0
1062	125440.0	202.0
1063	131712.0	233.0
1064	137984.0	242.0
1065	144256.0	268.0
1066	150528.0	286.0
1067	156800.0	279.0
1068	163072.0	322.0
1069	169344.0	321.0
1070	175616.0	310.0
1071	181888.0	369.0
1072	188160.0	388.0
1073	194432.0	358.0
1074	200704.0	349.0
1075	25088.0	64.0
1076	26656.0	47.0
1077	28224.0	48.0
1078	29792.0	57.0
1079	31360.0	83.0
1080	32928.0	73.0
1081	34496.0	66.0
1082	36064.0	73.0
1083	37632.0	78.0
1084	39200.0	75.0
1085	40768.0	82.0
1086	42336.0	90.0
1087	43904.0	84.0
1088	45472.0	102.0
1089	47040.0	100.0
1090	48608.0	81.0
1091	50176.0	94.0
1092	200704.0	393.0
1093	301056.0	574.0
1094	401408.0	747.0
1095	501760.0	1037.0
1096	602112.0	1116.0
1097	702464.0	1475.0
1098	802816.0	1339.0
1099	100352.0	196.0
1100	125440.0	222.0
1101	150528.0	259.0
1102	175616.0	326.0
1103	100352.0	174.0
1104	200704.0	354.0
1105	225792.0	452.0
1106	250880.0	483.0
1107	275968.0	565.0
1108	301056.0	608.0
1109	326144.0	718.0
1110	351232.0	702.0
1111	376320.0	667.0
1112	401408.0	842.0
1113	50176.0	92.0
1114	56448.0	108.0
1115	62720.0	123.0
1116	68992.0	146.0
1117	75264.0	130.0
1118	81536.0	168.0
1119	87808.0	157.0
1120	94080.0	162.0
1121	100352.0	180.0
1122	106624.0	194.0
1123	112896.0	177.0
1124	119168.0	187.0
1125	125440.0	284.0
1126	131712.0	244.0
1127	137984.0	264.0
1128	144256.0	234.0
1129	150528.0	273.0
1130	156800.0	294.0
1131	163072.0	310.0
1132	169344.0	304.0
1133	175616.0	360.0
1134	181888.0	383.0
1135	188160.0	366.0
1136	194432.0	434.0
1137	200704.0	331.0
1138	25088.0	52.0
1139	26656.0	52.0
1140	28224.0	54.0
1141	29792.0	94.0
1142	31360.0	93.0
1143	32928.0	77.0
1144	34496.0	71.0
1145	36064.0	83.0
1146	37632.0	77.0
1147	39200.0	88.0
1148	40768.0	93.0
1149	42336.0	84.0
1150	43904.0	84.0
1151	45472.0	94.0
1152	47040.0	95.0
1153	48608.0	105.0
1154	50176.0	95.0
