	FC_N	FC_CI	FC_CO	time_cost
569	1.0	147.0	1024.0	33.0
570	1.0	1024.0	10.0	9.0
571	1.0	147.0	1024.0	27.0
572	1.0	1024.0	10.0	6.0
573	1.0	147.0	1024.0	22.0
574	1.0	1024.0	10.0	7.0
575	1.0	147.0	1024.0	24.0
576	1.0	1024.0	10.0	7.0
577	1.0	147.0	1024.0	23.0
578	1.0	1024.0	10.0	7.0
579	1.0	147.0	1024.0	24.0
580	1.0	1024.0	10.0	7.0
581	1.0	147.0	1024.0	26.0
582	1.0	1024.0	10.0	6.0
583	1.0	147.0	1024.0	26.0
584	1.0	1024.0	10.0	8.0
585	1.0	48.0	1024.0	16.0
586	1.0	1024.0	10.0	8.0
587	1.0	48.0	1024.0	15.0
588	1.0	1024.0	10.0	7.0
589	1.0	48.0	1024.0	15.0
590	1.0	1024.0	10.0	7.0
591	1.0	48.0	1024.0	14.0
592	1.0	1024.0	10.0	7.0
593	1.0	48.0	1024.0	19.0
594	1.0	1024.0	10.0	8.0
595	1.0	48.0	1024.0	14.0
596	1.0	1024.0	10.0	7.0
597	1.0	48.0	1024.0	22.0
598	1.0	1024.0	10.0	8.0
599	1.0	48.0	1024.0	15.0
600	1.0	1024.0	10.0	7.0
601	1.0	48.0	1024.0	14.0
602	1.0	1024.0	10.0	7.0
603	1.0	48.0	1024.0	16.0
604	1.0	1024.0	10.0	6.0
605	1.0	48.0	1024.0	14.0
606	1.0	1024.0	10.0	6.0
607	1.0	48.0	1024.0	15.0
608	1.0	1024.0	10.0	7.0
609	1.0	48.0	1024.0	19.0
610	1.0	1024.0	10.0	8.0
611	1.0	48.0	1024.0	13.0
612	1.0	1024.0	10.0	7.0
613	1.0	48.0	1024.0	13.0
614	1.0	1024.0	10.0	7.0
615	1.0	432.0	1024.0	46.0
616	1.0	1024.0	10.0	8.0
617	1.0	432.0	1024.0	54.0
618	1.0	1024.0	10.0	8.0
619	1.0	432.0	1024.0	47.0
620	1.0	1024.0	10.0	9.0
621	1.0	432.0	1024.0	47.0
622	1.0	1024.0	10.0	8.0
623	1.0	432.0	1024.0	50.0
624	1.0	1024.0	10.0	9.0
625	1.0	432.0	1024.0	67.0
626	1.0	1024.0	10.0	9.0
627	1.0	432.0	1024.0	45.0
628	1.0	1024.0	10.0	8.0
629	1.0	432.0	1024.0	47.0
630	1.0	1024.0	10.0	8.0
631	1.0	432.0	1024.0	45.0
632	1.0	1024.0	10.0	8.0
633	1.0	432.0	1024.0	48.0
634	1.0	1024.0	10.0	8.0
635	1.0	432.0	1024.0	47.0
636	1.0	1024.0	10.0	9.0
637	1.0	432.0	1024.0	54.0
638	1.0	1024.0	10.0	9.0
639	1.0	432.0	1024.0	47.0
640	1.0	1024.0	10.0	8.0
641	1.0	432.0	1024.0	46.0
642	1.0	1024.0	10.0	10.0
643	1.0	432.0	1024.0	46.0
644	1.0	1024.0	10.0	8.0
645	1.0	512.0	1024.0	78.0
646	1.0	1024.0	10.0	9.0
647	1.0	512.0	1024.0	66.0
648	1.0	1024.0	10.0	11.0
649	1.0	512.0	1024.0	75.0
650	1.0	1024.0	10.0	11.0
651	1.0	512.0	1024.0	70.0
652	1.0	1024.0	10.0	10.0
653	1.0	512.0	1024.0	69.0
654	1.0	1024.0	10.0	10.0
655	1.0	512.0	1024.0	68.0
656	1.0	1024.0	10.0	8.0
657	1.0	512.0	1024.0	60.0
658	1.0	1024.0	10.0	10.0
659	1.0	512.0	1024.0	62.0
660	1.0	1024.0	10.0	9.0
661	1.0	512.0	1024.0	76.0
662	1.0	1024.0	10.0	8.0
663	1.0	512.0	1024.0	63.0
664	1.0	1024.0	10.0	8.0
665	1.0	512.0	1024.0	70.0
666	1.0	1024.0	10.0	9.0
667	1.0	512.0	1024.0	60.0
668	1.0	1024.0	10.0	11.0
